,smiles,homo,lumo
274,O=C(O[O-])C1=CC=CC=C1C([O-])=O,0.07308,0.26644
275,O=C(O[O-])C1=CC(Cl)=CC=C1,-0.05158,0.11789
276,O=C(O[O-])C1=CC=C(F)C=C1,-0.04714,0.13176
277,O=C(O[O-])C1=CC=C([N+]([O-])=O)C=C1,-0.06677,0.048
278,O=C(O[O-])C1=CC=C(OC)C=C1,-0.04135,0.13832
279,O=C(O[O-])C1=CC(Cl)=C(OC)C=C1,-0.04809,0.12731
280,C=CCCCC,-0.31149,0.05789
281,O=C(O[O-])C1=CC=CC=C1,-0.04326,0.13204
282,O=C1[CH-]C(NC(N1)=O)=O,-0.08535,0.22521
283,O=C1[CH-]C(N(C)C(N1C)=O)=O,-0.08693,0.21959
284,O=C1[CH-]C(NC(N1)=S)=O,-0.09885,0.16821
285,O=C1[CH-]C(N(CC)C(N1CC)=S)=O,-0.10163,0.16062
286,C=CCB1OC(C)(C)C(C)(C)O1,-0.29904,0.06235
287,F[B-](F)(F)C\C=C,-0.12522,0.21601
288,C=CC[B-]1(OC(C)(C)C(C)(C)O1)C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2,-0.13246,0.11575
289,C=CC[B-]1(OC(C)(C)C(C)(C)O1)C2=CC=CC=C2,-0.11458,0.17012
290,CC(O1)(C)C(C)(C)O[B-]1(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C/C=C/C,-0.12745,0.1113
291,CC1=CCCCC1,-0.28353,0.06559
292,COC(C=C1)=CC=C1/C=C(C2=CC=CC=C2)/N3CCCC3,-0.21641,0.00698
293,C(/N1CCCC1)(C2=CC=CC=C2)=C\C3=CC=CC=C3,-0.22436,0.00296
294,N#CC(C=C1)=CC=C1/C=C(C2=CC=CC=C2)/N3CCCC3,-0.23752,-0.0218
295,O=[N+](C(C=C1)=CC=C1/C=C(C2=CC=CC=C2)/N3CCCC3)[O-],-0.24068,-0.03824
296,C(/N1CCCCC1)(C2=CC=CC=C2)=C\C3=CC=CC=C3,-0.23097,0
297,C(/N1CCOCC1)(C2=CC=CC=C2)=C\C3=CC=CC=C3,-0.23519,-0.0051
298,N1(CCCCC1)/C=C/C2=CC=CC=C2,-0.23143,0.01625
299,N1(CCOCC1)/C=C/C2=CC=CC=C2,-0.23753,0.01231
300,C=C(C1=CC=CC=C1)N2CCCCC2,-0.24685,0.01293
301,C/C(C)=C/C,-0.28394,0.06965
302,C=C(C)C,-0.2999,0.06266
303,Cl[O-],0.00423,0.34364
304,Br[O-],-0.01186,0.28915
305,[O-]Br=O,-0.02392,0.28175
306,[O-]OS(=O)([O-])=O,0.14906,0.54854
307,C=CC1=CC=C(C)C=C1,-0.27073,-0.00225
308,C=C(C)C=C,-0.28498,0.00999
309,[H]C(C1=CC=C([N+]([O-])=O)C=C1)=[N+]=[N-],-0.27399,-0.05269
310,[H]C(C1=CC=C(C#N)C=C1)=[N+]=[N-],-0.26792,-0.03376
311,[H]C(C1=CC=C(Br)C=C1)=[N+]=[N-],-0.25286,-0.01372
312,[O-]OC(CC[NH+]1CCCCC1)=O,-0.25992,0.051
313,[O-]OC(CC[NH3+])=O,-0.15349,-0.04007
314,[O-]OC(CCC[NH3+])=O,-0.13235,-0.04998
315,C[Si](OC1=CCCC1)(C)C,-0.2636,0.07587
316,C=CC[Si](C)(Cl)C,-0.29903,0.04984
317,O=C([CH-]/N=C(C1=CC=CC=C1)/C2=CC=CC=C2)OCC,-0.05665,0.12808
318,O=C([CH-]/N=C(C1=CC=CC=C1)/C2=CC=CC=C2)OC(C)(C)C,-0.05862,0.12603
319,[H]/C(C1=CC=CC=C1)=N\[CH-]C(OCC)=O,-0.04763,0.14067
320,[H]/C(C1=CC=C(Cl)C=C1)=N\[CH-]C(OCC)=O,-0.05475,0.13016
321,C1=CC=CC(=C1)C([H])=N[C-](C)C(OCC)=O,-0.05203,0.13435
322,N#C[CH-]/N=C(C1=CC=CC=C1)/C2=CC=CC=C2,-0.0574,0.12663
323,C[Si](C)(C)OC(=Cc1ccccc1)c2ccccc2,-0.25213,-0.01619
324,C/C=C(O[Si](C)(C)C)/C1=CC=CC=C1,-0.26328,0.00641
325,C[Si](OC1=CCC2=CC=CC=C21)(C)C,-0.25658,0.01462
326,C[Si](OC1=CCCC2=CC=CC=C21)(C)C,-0.25419,0.00737
327,C/C(C)=C/C[Si](C)(C)C,-0.26907,0.0614
328,C12=CC=CC=C1C(N3CCCC3)=CC2,-0.2302,0.01872
329,C12=CC=CC=C1C(N3CCCC3)=CCC2,-0.23572,0.01122
330,O=C(C1=CC=C([N+]([O-])=O)C=C1)[CH-]C(OCC)=O,-0.09652,0.05098
331,[H]P1N(C(C)(C)C)C=CN1C(C)(C)C,-0.20937,0.05012
332,[H]P1N(C(C)(C)C)C2=C(C=CC=C2)N1C(C)(C)C,-0.22389,0.03597
333,[H]P1N(C2=C(C(C)C)C=CC=C2C(C)C)C=CN1C3=C(C(C)C)C=CC=C3C(C)C,-0.22529,0.0176
334,[H]P1N(C(C)(C)C)CCCN1C(C)(C)C,-0.25732,0.06951
335,[H]P1N(C(C)(C)C)CCN1C(C)(C)C,-0.2584,0.06194
336,[H]P1N(C2=C(C)C=C(C)C=C2C)C=CN1C3=C(C)C=C(C)C=C3C,-0.22317,0.02165
337,O=C([H])C=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,-0.23795,-0.01824
338,C=C(C)C[Ge](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,-0.27737,0.00813
339,O=C(C)C=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,-0.23763,-0.00957
340,[O-]C1=CC=C([N+]([O-])=O)C=C1,-0.08654,0.12443
341,C=CC[Si](C)(C)C(C)(C)C,-0.28886,0.05339
342,[O-]C1=CC=CC([N+]([O-])=O)=C1,-0.06928,0.10759
343,[O-]C1=CC=C(C#N)C=C1,-0.07348,0.17847
344,[O-]C1=CC=CC=C1C(F)(F)F,-0.06408,0.18469
345,C=CC[Si](CC)(CC)CC,-0.28975,0.05376
346,[O-]C1=CC=C(C(F)(F)F)C=C1,-0.06655,0.19328
347,[O-]C1=CC=CC(C(F)(F)F)=C1,-0.05874,0.18253
348,[O-]C1=CC=C(Cl)C=C1,-0.04819,0.1986
349,C=CC[Si](C(C)C)(C(C)C)C(C)C,-0.28992,0.05003
350,[O-]C1=CC=CC=C1,-0.03604,0.21741
351,[O-]C1=CC=C(C)C=C1,-0.0346,0.21231
352,[O-]C1=CC=C(C(C)(C)C)C=C1,-0.04129,0.19852
353,[O-]C1=CC=C(OC)C=C1,-0.02992,0.20653
354,C=CC[Si](CCCC)(CCCC)CCCC,-0.28924,0.05313
355,[O-]C1=CC=CC(OC)=C1,-0.0401,0.22192
356,[O-]C1=C(C(C)(C)C)C=CC=C1C(C)(C)C,-0.05993,0.19573
357,O=C([NH-]CC([O-])=O)[C@@H](NC(CC[C@H]([NH3+])C([O-])=O)=O)C[S],0.01089,0.2481
358,O=C([O-])[C@H]1NCCC1,-0.08307,0.21523
359,CC1NCCC1,-0.28104,0.08863
360,C1CNCC1,-0.27003,0.08943
361,CC(C)[C@@H]1NCCC1,-0.26763,0.08386
362,CC1(C)NCCC1,-0.27384,0.07982
363,C=CC[Si](CCCCCC)(CCCCCC)CCCCCC,-0.28906,0.05297
364,C1(CC2=CC=CC=C2)NCCC1,-0.27287,0.03025
365,[C@H]1(C(C2=CC=CC=C2)C3=CC=CC=C3)NCCC1,-0.27331,0.01973
366,NC[C@H]1NCCC1,-0.28036,0.0823
367,CN(C[C@H]1NCCC1)C,-0.26806,0.08866
368,[C@H]1(CN2CCCC2)NCCC1,-0.2628,0.08163
369,[N-]=[N+]=NC[C@H]1NCCC1,-0.28918,0.02756
370,OC[C@H]1NCCC1,-0.27821,0.09149
371,COC[C@H]1NCCC1,-0.2794,0.09559
372,FC(C1NCCC1)(F)F,-0.2968,0.08881
373,O=C(OC)[C@H]1NCCC1,-0.28582,0.06078
374,C/C=C\C[Si](C)(C)C,-0.27802,0.06128
375,O=C(N(C)C)[C@H]1NCCC1,-0.28351,0.06861
376,O=C(NCCC)[C@H]1NCCC1,-0.29688,0.06192
377,O=C1C2=C(C=CC=C2)C(N1C[C@H]3NCCC3)=O,-0.28621,-0.04099
378,[C@H]1(CN2N=NC(C3=CC=CC=C3)=C2)NCCC1,-0.27372,0.00653
379,[C@H]1(CN2C=NC=C2)NCCC1,-0.27331,0.06708
380,CCCC[n+]1ccn(C[C@@H]2CCCN2)c1,-0.41497,-0.11944
381,S=C(NC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)NC[C@H]2NCCC2,-0.26566,-0.01483
382,O=C(NC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)NC[C@H]2NCCC2,-0.28772,-0.01087
383,C1(C(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)NCCC1,-0.271,0.01666
384,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,-0.28791,0.01528
385,C/C=C/C[Si](C)(C)C,-0.27811,0.06082
386,OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,-0.27292,0.01585
387,[N-]=[N+]=NC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,-0.27804,0.00827
388,C1([Si](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)NCCC1,-0.27626,0.00746
389,O=C1[C@H](CC2=CC=CC=C2)NC(C)(C)N1C,-0.28363,0.018
390,O=C1[C@H](CC2=CC=CC=C2)N[C@H](C(C)(C)C)N1C,-0.28819,0.026
391,O=C1[C@H](CC2=CC=CC=C2)N[C@H](C3=CC=C(C)O3)N1C,-0.2768,0.02549
392,O=C1[C@H](CC2=CC=CC=C2)N[C@@H](C3=CC=C(C)O3)N1C,-0.2739,0.01698
393,C/C(C[Si](CC)(CC)CC)=C(C)\C,-0.26212,0.0634
394,C=C(C)C(C)(C)C,-0.30004,0.06165
395,C=C(C)C(C)C,-0.29965,0.06245
396,FC(C1=CC=C([CH-]S(=O)(C(F)(F)F)=O)C=C1)(F)F,-0.10051,0.13699
397,N#CC1=CC=C([CH-]S(=O)(C(F)(F)F)=O)C=C1,-0.10572,0.11516
398,O=[N+](C1=CC=C([CH-]C#N)C=C1)[O-],-0.07724,0.10086
399,O=[N+](C1=CC=C([CH-]S(=O)(C2=CC=CC=C2)=O)C=C1)[O-],-0.09737,0.08477
400,C=C(C)CC(C)(C)C,-0.2973,0.05392
401,C=C(C)CC,-0.29962,0.06074
402,C=C(C)CC(C)=C,-0.30357,0.04577
403,C=C(CCC(C)=C)C,-0.29307,0.05106
404,C=C(CCCC(C)=C)C,-0.29798,0.05411
405,C=C(CCCCC(C)=C)C,-0.29765,0.05746
406,C1=CC=CO1,-0.28521,0.05447
407,C[Si](C1=CC=CO1)(C)C,-0.27672,0.04277
408,CC[Si](C1=CC=CO1)(CC)CC,-0.27643,0.04093
409,CCCC[Si](C1=CC=CO1)(CCCC)CCCC,-0.27607,0.0412
410,C1=CC=CS1,-0.29287,0.02324
411,C[Si](C1=CC=CS1)(C)C,-0.2855,0.01745
412,CCCC[Sn](C1=CC=CO1)(CCCC)CCCC,-0.27125,0.04397
413,CCCC[Sn](C1=CC=CS1)(CCCC)CCCC,-0.27908,0.02227
414,C=CC=C,-0.2886,0.00721
415,C=C/C=C\C,-0.27671,0.00716
416,C/C=C/C=C/C,-0.26288,0.01549
417,C=C(C)C(C)=C,-0.28324,0.01104
418,C=C/C=C/C,-0.27493,0.01159
419,C=C/C=C(C)/C,-0.26735,0.01566
420,C=C(C)/C=C/C,-0.27255,0.01369
421,[H]C([H])=[N+]=[N-],-0.27253,0.00693
422,[H]C(C1=CC=CC=C1)=[N+]=[N-],-0.24822,-0.00591
423,[H]C([Si](C)(C)C)=[N+]=[N-],-0.26453,0.01364
424,[N-]=[N+]=C(C1=CC=CC=C1)C2=CC=CC=C2,-0.23959,-0.01082
425,[N-]=[N+]=CC(OCC)=O,-0.29586,-0.01577
426,CC(C=[N+]=[N-])=O,-0.29519,-0.0161
427,O=C(OCC)C(C(OCC)=O)=[N+]=[N-],-0.30949,-0.02818
428,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,-0.26416,0.00694
429,ClC(C=C1)=CC=C1P(C2=CC=C(Cl)C=C2)C3=CC=C(Cl)C=C3,-0.2753,-0.01067
430,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,-0.25533,0.01241
431,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,-0.2455,0.01244
432,CN(C(C=C1)=CC=C1P(C2=CC=C(N(C)C)C=C2)C3=CC=C(N(C)C)C=C3)C,-0.21449,0.02786
433,CC(C)P(C(C)C)C(C)C,-0.26262,0.07609
434,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,-0.26007,0.07676
435,CCCCP(CCCC)CCCC,-0.2683,0.08197
436,P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,-0.28971,0.0121
437,CCCCOP(OCCCC)OCCCC,-0.2949,0.06733
438,C[CH-][N+]([O-])=O,-0.02971,0.26969
439,C1=CCCC=C1,-0.26554,0.011
440,C1=CCCCC=C1,-0.26738,0.00793
441,C1=C\CCCC\C=C/1,-0.27323,0.01908
442,C1=CCC=C1,-0.27365,0.0192
443,C=C(O[Si](C)(C)C)C(C)(C)C,-0.27967,0.071
444,C/C(C)=C(O[Si](C)(C)C)\OC,-0.25886,0.07629
445,C/C(C)=C/O[Si](C)(C)C,-0.259,0.07881
446,C/C=C\O[Si](C(C)C)(C(C)C)C(C)C,-0.27265,0.07109
447,C[Si](OC1=C(O[Si](C)(C)C)CCCC1)(C)C,-0.25498,0.07179
448,C=C(C=C)O[Si](C)(C)C,-0.2723,0.01614
449,C=C/C=C/O[Si](C)(C)C,-0.25372,0.027
450,C[Si](OC1=CCCCCC1)(C)C,-0.26245,0.0662
451,C[Si](O/C1=C/CCCCCC1)(C)C,-0.26508,0.06544
452,C/C=C(CC)\O[Si](C)(C)C,-0.27116,0.0712
453,C[Si](OC1=CC=CO1)(C)C,-0.25281,0.06854
454,C[Si](C1CCC=C1)(C)C,-0.27979,0.05852
455,CCCCCC[Si](CCCCCC)(CCCCCC)C1CCC=C1,-0.27773,0.0578
456,C=C(C)C[Si](Cl)(Cl)Cl,-0.3093,0.03127
457,C=CC[Ge](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,-0.28506,0.00891
458,C/C(C)=C/C[Sn](CCCC)(CCCC)CCCC,-0.25551,0.056
459,C=C(C)C[Sn](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,-0.27137,0.00698
460,C/C(C)=C(C)/C,-0.27317,0.06892
461,C=C(C)CC1=CC=CC=C1,-0.29526,0.02507
462,C=C(C)C1=CC=CC=C1,-0.27832,0.00195
463,C=C(C)C1CC1,-0.28447,0.06058
464,C/C=C\C1=CC=CC=C1,-0.27624,0.00561
465,C1=CCCC1,-0.29365,0.06299
466,C12C=CC(C2)CC1,-0.29337,0.05469
467,CC1=CCC2CC1C2(C)C,-0.27689,0.0597
468,CC1=CCCC1,-0.28204,0.0675
469,C/C=C/C,-0.29261,0.05288
470,CC1=CC=CC=C1,-0.29361,0.02984
471,C=COCC,-0.27958,0.07018
472,C/C(C)=C/OCC,-0.2613,0.07655
473,CC1=CC(C)=CC=C1,-0.28659,0.03286
474,N#C[CH-]C(OCC)=O,-0.05997,0.21552
475,CC=Cc1ccccc1,-0.26837,-0.00241
476,O=C([CH-]C(OCC)=O)OCC,-0.06752,0.21709
477,O=C([C-](C)C(OCC)=O)OCC,-0.05988,0.21405
478,CC([C-](C)C(C)=O)=O,-0.04863,0.22399
479,CC1=CC=CS1,-0.27976,0.02663
480,C=CC1=CC=CC=C1,-0.2792,-0.00614
481,COC1=CC=CC(OC)=C1,-0.26976,0.03246
482,C=CC[Si](C)(C)C,-0.29089,0.05438
483,C=C(OCC)OCC,-0.26285,0.09382
484,C=C(O[Si](C)(C)C)OCCCC,-0.25481,0.07596
485,C=C(O[Si](C)(C(C)(C)C)C)OCCCC,-0.26061,0.07073
486,C/C=C(O[Si](C)(C)C)/O[Si](C)(C)C,-0.24986,0.0698
487,C=CC[Sn](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,-0.27637,0.00657
488,CC1=C(O[Si](C)(C)C)OCC1,-0.2394,0.08311
489,O=[N+]([CH-]C)[O-],-0.02972,0.26969
490,[CH2-][N+]([O-])=O,-0.0316,0.2779
491,O=[N+]([C-](C)C)[O-],-0.02872,0.25115
492,O=[N+]([CH-]C1=CC=CC=C1)[O-],-0.05848,0.16329
493,O=[N+]([CH-]C1=CC=C(C)C=C1)[O-],-0.05685,0.16198
494,C=C(C)C[Si](C)(C)C,-0.28264,0.05858
495,O=[N+]([CH-]C1=CC=C([N+]([O-])=O)C=C1)[O-],-0.09416,0.08233
496,O=[N+]([CH-]C1=CC=CC([N+]([O-])=O)=C1)[O-],-0.08257,0.07537
497,O=[N+]([CH-]C1=CC=C(C#N)C=C1)[O-],-0.08593,0.11469
498,[C-]#N,-0.06181,0.39269
499,C=CC1=C(C)C=C(C)C=C1C,-0.26982,0.00847
500,C=CC[Sn](CCCC)(CCCC)CCCC,-0.27247,0.04844
501,[S-]C#N,-0.05614,0.3281
502,[Cl-],-0.00616,0.82852
503,C=C(C)C[Sn](CCCC)(CCCC)CCCC,-0.26859,0.05077
504,[Br-],-0.03059,0.63261
505,C=C(O[Si](C)(C)C)/C=C/OC,-0.24748,0.03044
506,FC1=C([Si](C2=C(C(F)=C(C(F)=C2F)F)F)(OC3=CCCO3)C4=C(C(F)=C(C(F)=C4F)F)F)C(F)=C(F)C(F)=C1F,-0.27183,-0.04515
507,C1(O[Si](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)=CCCO1,-0.25165,-0.00047
508,C1(O[Si](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)=CCCC1,-0.26725,0.00029
509,O1CCC=C1,-0.26597,0.07432
510,CC(O[Si](C1=C(F)C(F)=C(F)C(F)=C1F)(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F)=C,-0.30825,-0.04515
511,FC(C(F)=C(F)C(F)=C1F)=C1[Si](C2=C(F)C(F)=C(F)C(F)=C2F)(OC3=CCCC3)C4=C(F)C(F)=C(F)C(F)=C4F,-0.28961,-0.0423
512,C[Si](OC1=CCCCO1)(C)C,-0.25223,0.08074
513,[O-]N=O,-0.0135,0.30647
514,C[Si](OC1=CCCO1)(C)C,-0.2494,0.07907
515,C=C1CCCC1,-0.29469,0.05085
516,CC1=CC=CO1,-0.27138,0.05828
517,[N-]=[N+]=[N-],-0.01143,0.37787
518,CN1C=CC=C1,-0.25879,0.07678
519,C[Si](OC1=CCCCC1)(C)C,-0.26516,0.07141
520,ClC1=CC=NC=C1,-0.33335,-0.00345
521,N1=CC=CC=C1,-0.32032,0.00827
522,CC1=CC=NC=C1,-0.31639,0.01302
523,COC1=CC=NC=C1,-0.3058,0.01866
524,NC1=CC=NC=C1,-0.27434,0.03007
525,C=C(O[Si](C)(C)C)C,-0.27848,0.07162
526,CN(C1=CC=NC=C1)C,-0.26118,0.0307
527,C1(N2CCCC2)=CC=NC=C1,-0.25781,0.03196
528,COC1=CC=C2C(C=CN2)=C1,-0.2434,0.01905
529,NC1=CC=C2C(C=CN2)=C1,-0.22145,0.02905
530,C=C(O[Si](C)(C)C)C1=CC=CC=C1,-0.26812,0.00363
531,OC1=CC=C2C(C=CN2)=C1,-0.24901,0.01957
532,CC1=CC=C2C(C=CN2)=C1,-0.25259,0.02313
533,ClC1=CC=C2C(C=CN2)=C1,-0.26472,0.00817
534,BrC1=CC=C2C(C=CN2)=C1,-0.26547,0.00662
535,N#CC1=CC=C2C(C=CN2)=C1,-0.27892,-0.00908
536,O=C(C1=CC=C2C(C=CN2)=C1)O,-0.26681,-0.00076
537,CC1=CC2=CC(OC)=CC=C2N1,-0.24077,0.02244
538,CC1=CC=C2C(C=C(C)N2)=C1,-0.24705,0.02641
539,CC1=CC2=CC=CC=C2N1,-0.24901,0.0243
540,ClC1=CC=C2C(C=C(C)N2)=C1,-0.25967,0.01198
541,COC1=C(C=CN2)C2=CC=C1,-0.23971,0.0318
542,C12=CC=CN=C1NC=C2,-0.27043,0.00432
543,CC(C)(C)N=[C],-0.30382,0.03485
544,[C-]#[N+]Cc1ccccc1,-0.31952,0.00668
545,CC1=C(N=[C])C(C)=CC=C1,-0.27189,0.01067
546,Cc1ccc(cc1)[S](=O)(=O)C[N+]#[C-],-0.33169,-0.02424
547,[C]=NC1=CC=C(C#N)C=C1,-0.30411,-0.03772
548,[H]N([H])[H],-0.32321,0.0979
549,C=C(OC1=CC=CC=C1)O[Si](C)(C)C,-0.27768,0.01914
550,[H]N(C)[H],-0.29438,0.09915
551,[H]N(CC)[H],-0.29528,0.09534
552,[H]N(C(C)C)[H],-0.29625,0.08789
553,[H]N(C(C)(C)C)[H],-0.29696,0.07959
554,[H]N(C)C,-0.27813,0.09717
555,[H]N(CC)CC,-0.27915,0.09651
556,[H]N1CCCC1,-0.27008,0.08942
557,[H]N1CCCCC1,-0.27256,0.09058
558,[H]N1CCOCC1,-0.27242,0.09176
559,[H]N1CCNCC1,-0.25133,0.09251
560,C1(N2CCOCC2)=CCCCC1,-0.24903,0.06856
561,[H]N1CCCCCC1,-0.27654,0.08631
562,NCC#N,-0.33875,0.05763
563,OCCN,-0.29224,0.08948
564,NCCN,-0.29215,0.09506
565,NCC#C,-0.30583,0.06908
566,NCC1=CC=CC=C1,-0.28808,0.03181
567,NC1=CC=C(Cl)C=C1,-0.24791,0.02357
568,NC1=CC=CC=C1,-0.24455,0.03825
569,C1(N2CCCCC2)=CCCCC1,-0.2462,0.07032
570,NC1=CC=C(C)C=C1,-0.2371,0.03855
571,NC1=CC=C(OC)C=C1,-0.22679,0.03513
572,CNCC#N,-0.31147,0.05931
573,NCC(OC)=O,-0.30312,0.059
574,NCC(N)=O,-0.29687,0.07319
575,NCCCN,-0.2948,0.09595
576,COC1=CC=CC=C1,-0.27416,0.02795
577,C/C=C\C,-0.29453,0.0596
578,O=S([CH-]C1=CC=C([N+]([O-])=O)C=C1)(C(F)(F)F)=O,-0.11249,0.07853
579,O=S([CH-]C1=CC=C(C#N)C=C1)(C(F)(F)F)=O,-0.10573,0.11515
